seller_id,seller_city,seller_state,total_orders_fulfilled,total_revenue,avg_order_value,total_items_sold,total_distinct_products_sold,total_distinct_customers_served,total_freight_value,avg_days_to_deliver,avg_days_to_approve,pct_late_deliveries,total_late_orders,avg_review_score,total_reviews_received,pct_1star_reviews,pct_5star_reviews,distinct_categories_sold,top_category,was_acquired_via_mql,mql_origin,business_type,lead_type,lead_behaviour_profile,average_stock,declared_monthly_revenue,declared_product_catalog_size,has_company,has_gtin,days_to_close_deal
4305fe92735c8a43d154ff6dd2b8d927,CORONEL FABRICIANO,MG,19,2885.9,151.889473,21,5,19,428.35,8.647058823529411,0.3157894736842105,0.0,0,3.9473684210526314,19,5.263157894736842,52.63157894736842,3,Sports Leisure,0,,,,,,,,,,
431050a06a317f2b38168dec3dcd2b46,SAO PAULO,SP,12,1487.8,123.983333,12,7,12,233.15,6.2,0.16666666666666666,0.0,0,4.25,12,8.333333333333332,58.333333333333336,2,Health Beauty,0,,,,,,,,,,
431af27f296bc6519d890aa5a05fdb11,RIBEIRAO PRETO,SP,117,13109.5,112.047008,125,20,117,2141.35,12.431034482758621,0.452991452991453,13.675213675213676,16,3.752136752136752,117,19.65811965811966,50.427350427350426,1,Health Beauty,0,,,,,,,,,,
4324dd16853115efb0fd9d0d131ba6f4,SAO JOSE DO RIO PARDO,SP,12,1052.25,87.6875,18,6,12,327.22,11.166666666666666,0.9166666666666666,8.333333333333332,1,4.083333333333333,12,16.666666666666664,58.333333333333336,1,Computers Accessories,0,,,,,,,,,,
432c37c9dfba871172ec162e20118b8c,BRASILIA,DF,46,2968.87,64.540652,57,17,46,969.67,10.068181818181818,0.717391304347826,8.695652173913043,4,4.108695652173913,46,10.869565217391305,56.52173913043478,7,Cool Stuff,0,,,,,,,,,,
432c67955c0acd1fd6b0b5d678766a71,SAO PAULO,SP,3,1151.0,383.666666,3,3,3,137.41,1.0,1.3333333333333333,0.0,0,2.3333333333333335,3,66.66666666666666,33.33333333333333,2,Health Beauty,0,,,,,,,,,,
43402bdf22aa2310e8f99e2f94f78628,RIBEIRAO PIRES,SP,4,649.95,162.4875,5,3,4,187.15,5.0,1.0,0.0,0,2.5,4,50.0,0.0,2,Furniture Bedroom,1,Other,Manufacturer,Industry,Cat,Not Specified,0.0,0.0,0.0,0.0,8.0
4342d4b2ba6b161468c63a7e7cfce593,RIO DE JANEIRO,RJ,20,2867.1,143.355,20,3,20,296.21,11.5,0.45,5.0,1,1.25,20,90.0,5.0,1,Watches Gifts,0,,,,,,,,,,
436bf27f2f18474fc6047702e9f8a866,CAMPINAS,SP,1,29.9,29.9,1,1,1,14.52,14.0,0.0,0.0,0,5.0,1,0.0,100.0,1,Baby,0,,,,,,,,,,
4371b634e0efc0e22b09b52907d9d469,SAO PAULO,SP,102,8194.0,80.333333,112,40,101,1484.79,9.356435643564357,0.49019607843137253,6.862745098039216,7,4.411764705882353,102,6.862745098039216,72.54901960784314,4,Sports Leisure,0,,,,,,,,,,
43753b27d77860f1654aa72e251a7878,BARRO ALTO,BA,1,23.9,23.9,1,1,1,42.38,21.0,3.0,0.0,0,5.0,1,0.0,100.0,1,Furniture Decor,0,,,,,,,,,,
4391ea5c5990502176a1dcda44a2373d,PORTO ALEGRE,RS,3,2349.0,783.0,5,3,3,135.3,10.0,1.0,0.0,0,4.666666666666667,3,0.0,66.66666666666666,2,Air Conditioning,0,,,,,,,,,,
439a47cc365d6e3bd526812ea9de3c29,MOGI DAS CRUZES,SP,8,1186.5,148.3125,13,5,8,224.43,5.875,0.375,0.0,0,4.25,8,12.5,62.5,1,Bed Bath Table,0,,,,,,,,,,
43a1d4bab73b816e44ef4e4facd9f9b5,MARINGA,PR,1,189.9,189.9,1,1,1,15.5,8.0,0.0,0.0,0,4.0,1,0.0,0.0,1,Health Beauty,0,,,,,,,,,,
43a5d4a57af536fddc96d08be3afdfcb,VARGINHA,MG,1,75.0,75.0,1,1,1,24.83,-1.0,0.0,0.0,0,1.0,1,100.0,0.0,1,Home Confort,0,,,,,,,,,,
43b2c864251aa0ce4030c746984e088a,BRASILIA,DF,2,94.8,47.4,2,2,2,34.52,4.5,0.0,0.0,0,3.0,2,50.0,50.0,2,Housewares,0,,,,,,,,,,
